Team ID,Task ID,Bonus Reason,Points
techday25lon-4599,bonus,Bonus Beans!,1000
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,
,bonus,,